,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 41,ENGL 3795 - Communicating Climate Change,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,291.0,7,0.9
Post 42,La fete de la quatrieme etage de la bibliotheque Olin est finie,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",10,129.0,8,0.8300000000000001
Post 43,"If I get a C in a class that a C+ is required in, will they be flexible and let me affiliate?",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",3,1266.0,5,0.73
Post 44,Grade Calculations for 3570 (Overlooked Points),-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,1186.0,8,0.9
Post 45,"Welp CS 2800 and 3110 are now closed, am I just doomed?",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",3,1085.0,7,0.89
Post 46,math 1110 prof,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,1058.0,5,0.86
Post 47,rejected from cs 3110,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,1042.0,6,0.8
Post 48,Chem 3580,4,"[('chem', 3), ('3580', 2), ('sapling', 1), ('3570', 1)]",11,"[('chem', 2), ('3580', 2), ('sapling', 1)]",4,"[('chem', 3), ('3580', 2), ('sapling', 1), ('3570', 1)]",8,493.0,7,1.0
Post 49,srry when are off campus ppl supposed to come back,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,208.0,7,1.0
Post 50,Cs2110,9,"[('cs2110', 1), ('ilrob', 1), ('1220', 1), ('stsci', 1), ('2150', 1), ('ece', 1), ('3100?', 1)]",12,"[('cs2110', 1), ('biomg', 1), ('2800', 1), ('third', 1), ('prelim...', 1)]",9,"[('cs2110', 1), ('ilrob', 1), ('1220', 1), ('stsci', 1), ('2150', 1), ('ece', 1), ('3100?', 1)]",3,1371.0,6,0.88
Post 51,biomg 2800 third prelim...,2,"[('biomg', 2), ('2800', 1), ('third', 1), ('prelim...', 1), ('1350', 1), ('grade', 1), ('cutoffs', 1)]",12,"[('cs2110', 1), ('biomg', 1), ('2800', 1), ('third', 1), ('prelim...', 1)]",2,"[('biomg', 2), ('2800', 1), ('third', 1), ('prelim...', 1), ('1350', 1), ('grade', 1), ('cutoffs', 1)]",3,1252.0,5,1.0
Post 52,History/Government Classes,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",12,1141.0,8,0.9
Post 53,HD 3530: Thoughts?,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",0,1123.0,4,0.84
Post 54,Ilrob 1220,9,"[('cs2110', 1), ('ilrob', 1), ('1220', 1), ('stsci', 1), ('2150', 1), ('ece', 1), ('3100?', 1)]",7,"[('cs', 2), ('ilrob', 1), ('1220', 1), ('is', 1), ('ok', 1), ('take', 1), ('chem', 1), ('2510', 1), ('junior/senior?', 1), ('fws', 1)]",9,"[('cs2110', 1), ('ilrob', 1), ('1220', 1), ('stsci', 1), ('2150', 1), ('ece', 1), ('3100?', 1)]",0,1031.0,5,1.0
Post 55,freshman with no pe,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",4,1007.0,5,1.0
Post 56,Is it ok to take CHEM 2510 as a Junior/Senior?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",7,"[('cs', 2), ('ilrob', 1), ('1220', 1), ('is', 1), ('ok', 1), ('take', 1), ('chem', 1), ('2510', 1), ('junior/senior?', 1), ('fws', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",3,483.0,4,0.84
Post 57,FWS reading now,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",7,"[('cs', 2), ('ilrob', 1), ('1220', 1), ('is', 1), ('ok', 1), ('take', 1), ('chem', 1), ('2510', 1), ('junior/senior?', 1), ('fws', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",0,318.0,6,1.0
Post 58,ECE Major,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",17,"[('ece', 2), ('major', 1), ('3100?', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,313.0,6,1.0
Post 59,EASY 2 Credit pre med courses?,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",7,"[('cs', 2), ('ilrob', 1), ('1220', 1), ('is', 1), ('ok', 1), ('take', 1), ('chem', 1), ('2510', 1), ('junior/senior?', 1), ('fws', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,235.0,5,0.86
Post 60,BTRY 3080 and ENGRD 2700 -- Engineering CS major?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",7,"[('cs', 2), ('ilrob', 1), ('1220', 1), ('is', 1), ('ok', 1), ('take', 1), ('chem', 1), ('2510', 1), ('junior/senior?', 1), ('fws', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",6,221.0,5,1.0
Post 61,Do CS courses count toward the 100 required credits for Arts&Sciences?,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",7,"[('cs', 2), ('ilrob', 1), ('1220', 1), ('is', 1), ('ok', 1), ('take', 1), ('chem', 1), ('2510', 1), ('junior/senior?', 1), ('fws', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,213.0,5,0.86
Post 62,CS 3110 as a non major?,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,20.0,6,1.0
Post 63,Any good alternatives for STSCI 2150,6,"[('good', 5), ('alternatives', 5), ('stsci', 5), ('2150', 5), ('any', 1)]",8,"[('stsci', 6), ('2150', 6), ('good', 5), ('alternatives', 5), ('any', 1), ('lottery', 1), ('fws', 1)]",6,"[('good', 5), ('alternatives', 5), ('stsci', 5), ('2150', 5), ('any', 1)]",2,1350.0,5,1.0
Post 64,Canvas Test Submission Question,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",0,1334.0,7,1.0
Post 65,Shieeeeet...woke up late for enrollment,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,1077.0,6,0.71
Post 66,Lottery for FWS,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",8,"[('stsci', 6), ('2150', 6), ('good', 5), ('alternatives', 5), ('any', 1), ('lottery', 1), ('fws', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",3,548.0,4,1.0
Post 67,"Is this doable? (freshman, CS major, first time coming to campus)",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",11,435.0,3,0.72
Post 68,skip info3450 and take info4400?,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",9,"[('1110', 3), ('econ', 2), ('3110', 2), ('taking', 2), ('without', 2), ('math', 2), ('skip', 1), ('info3450', 1), ('take', 1), ('info4400?', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",1,388.0,4,1.0
Post 69,"I heard from some ppl that you can “sit in” some classes during add drop before deciding to enroll, how does that work?",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",4,298.0,4,1.0
Post 70,Phys 1112,5,"[('phys', 2), ('1112', 1), ('2207', 1), ('final', 1)]",9,"[('1110', 3), ('econ', 2), ('3110', 2), ('taking', 2), ('without', 2), ('math', 2), ('skip', 1), ('info3450', 1), ('take', 1), ('info4400?', 1)]",5,"[('phys', 2), ('1112', 1), ('2207', 1), ('final', 1)]",2,231.0,4,1.0
Post 71,Is there any way to get into classes that are already full and have waitlist capacities of 0?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",4,175.0,4,1.0
Post 72,Does PE or MATH 1101 count towards maximum enrollment cap??,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",0,124.0,3,0.81
Post 73,ECON 2040/SOC 2090/INFO 2040: Networks,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",9,"[('1110', 3), ('econ', 2), ('3110', 2), ('taking', 2), ('without', 2), ('math', 2), ('skip', 1), ('info3450', 1), ('take', 1), ('info4400?', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",14,25.0,4,0.64
Post 74,Econ 3110 spot,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",18,"[('cs', 2), ('3110', 2), ('enrollment', 2), ('is', 2), ('classes', 2), ('non', 1), ('major?', 1), ('canvas', 1), ('test', 1), ('submission', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",1,1364.0,4,1.0
Post 75,Doing Research,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,1351.0,3,1.0
Post 76,Anyone know anything about AMST 1101?,13,"[('anyone', 2), ('amst', 2), ('know', 1), ('anything', 1), ('1101?', 1), ('has', 1), ('taken', 1), ('2000?', 1)]",14,"[('anyone', 1), ('know', 1), ('anything', 1), ('amst', 1), ('1101?', 1)]",11,"[('anyone', 2), ('amst', 2), ('know', 1), ('anything', 1), ('1101?', 1), ('has', 1), ('taken', 1), ('2000?', 1)]",0,1205.0,5,1.0
Post 77,People in stsci 2150 for the spring.......pls consider: dropping the class?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,1170.0,3,1.0
Post 78,Didn't get into BIO1610 and MATH 1110. Can I waitlist? Or is it impossible to get a seat for these two classes now?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,1078.0,2,0.67
Post 79,Spare 2800? ;-;,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,1070.0,4,0.7000000000000001
Post 80,Enrolled in CS 3110 but couldn’t get into 2800,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",9,"[('1110', 3), ('econ', 2), ('3110', 2), ('taking', 2), ('without', 2), ('math', 2), ('skip', 1), ('info3450', 1), ('take', 1), ('info4400?', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",8,1060.0,4,0.8300000000000001
Post 81,Bike touring pe,1,"[('pe', 2), ('bike', 1), ('touring', 1), ('rock', 1), ('climbing', 1), ('course', 1)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",1,"[('pe', 2), ('bike', 1), ('touring', 1), ('rock', 1), ('climbing', 1), ('course', 1)]",3,1042.0,5,0.86
Post 82,STSCI 2150,9,"[('cs2110', 1), ('ilrob', 1), ('1220', 1), ('stsci', 1), ('2150', 1), ('ece', 1), ('3100?', 1)]",8,"[('stsci', 6), ('2150', 6), ('good', 5), ('alternatives', 5), ('any', 1), ('lottery', 1), ('fws', 1)]",9,"[('cs2110', 1), ('ilrob', 1), ('1220', 1), ('stsci', 1), ('2150', 1), ('ece', 1), ('3100?', 1)]",1,1042.0,3,1.0
Post 83,COGST 1111/DEA 1110 (making a difference by design) liberal studies requirement?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,561.0,3,1.0
Post 84,AEM2000,8,"[('aem', 2), ('aem2000', 1), ('2210', 1), ('vs', 1), ('2050', 1)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",8,"[('aem', 2), ('aem2000', 1), ('2210', 1), ('vs', 1), ('2050', 1)]",0,542.0,3,1.0
Post 85,How is math 4130 in the spring?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",16,"[('get', 2), ('math', 2), ('doing', 1), ('research', 1), ('people', 1), ('stsci', 1), ('2150', 1), ('spring.......pls', 1), ('consider:', 1), ('dropping', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,488.0,3,1.0
Post 86,anthr 2400 w raheja,0,"[('nimona', 1), ('wishes', 1), ('well', 1), ('today!', 1), ('anthr', 1), ('2400', 1), ('w', 1), ('raheja', 1)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",0,"[('nimona', 1), ('wishes', 1), ('well', 1), ('today!', 1), ('anthr', 1), ('2400', 1), ('w', 1), ('raheja', 1)]",1,408.0,3,1.0
Post 87,BIOMG 1350 Grade Cutoffs,2,"[('biomg', 2), ('2800', 1), ('third', 1), ('prelim...', 1), ('1350', 1), ('grade', 1), ('cutoffs', 1)]",13,"[('math', 5), ('pre', 3), ('enroll', 3), ('anyone', 2), ('is', 2), ('1110', 2), ('aem', 2), ('vs', 2), ('biomg', 1), ('1350', 1)]",2,"[('biomg', 2), ('2800', 1), ('third', 1), ('prelim...', 1), ('1350', 1), ('grade', 1), ('cutoffs', 1)]",5,399.0,3,1.0
Post 88,what does enrollment preference mean on roster,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",9,"[('1110', 3), ('econ', 2), ('3110', 2), ('taking', 2), ('without', 2), ('math', 2), ('skip', 1), ('info3450', 1), ('take', 1), ('info4400?', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",1,396.0,3,1.0
Post 89,Are FWS being chosen by ballot spring semester?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",9,"[('1110', 3), ('econ', 2), ('3110', 2), ('taking', 2), ('without', 2), ('math', 2), ('skip', 1), ('info3450', 1), ('take', 1), ('info4400?', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,395.0,3,1.0
Post 90,Pre enroll,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",13,"[('math', 5), ('pre', 3), ('enroll', 3), ('anyone', 2), ('is', 2), ('1110', 2), ('aem', 2), ('vs', 2), ('biomg', 1), ('1350', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,246.0,3,1.0
Post 91,Has anyone taken AMST 2000?,13,"[('anyone', 2), ('amst', 2), ('know', 1), ('anything', 1), ('1101?', 1), ('has', 1), ('taken', 1), ('2000?', 1)]",13,"[('math', 5), ('pre', 3), ('enroll', 3), ('anyone', 2), ('is', 2), ('1110', 2), ('aem', 2), ('vs', 2), ('biomg', 1), ('1350', 1)]",11,"[('anyone', 2), ('amst', 2), ('know', 1), ('anything', 1), ('1101?', 1), ('has', 1), ('taken', 1), ('2000?', 1)]",4,0.0,3,1.0
Post 92,Is it possible to apply for financial aid for Spring 2021 semester?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",13,"[('math', 5), ('pre', 3), ('enroll', 3), ('anyone', 2), ('is', 2), ('1110', 2), ('aem', 2), ('vs', 2), ('biomg', 1), ('1350', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",0,1263.0,5,1.0
