,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 11,google sheets memes i guess is where i am now,7,"[(""haven't"", 1), ('seen', 1), ('bunny', 1), ('bit', 1), ('i', 1), ('drew', 1), ('one', 1), ('pset', 1), ('google', 1), ('sheets', 1)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",7,"[(""haven't"", 1), ('seen', 1), ('bunny', 1), ('bit', 1), ('i', 1), ('drew', 1), ('one', 1), ('pset', 1), ('google', 1), ('sheets', 1)]",2,219.0,53,1.0
Post 12,Did anyone have a good semester?,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",12,360.0,51,1.0
Post 13,Mr. Squiggles loves you and believes in you,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",2,553.0,49,0.9400000000000001
Post 14,Where are the bunnies,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,139.0,45,0.89
Post 15,Hmm...,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",3,449.0,42,0.98
Post 16,Special Message From My Pupper to Anyone Struggling with Finals,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",0,381.0,40,0.98
Post 17,Hopscotch got the Monday vibes,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",11,379.0,37,0.91
Post 18,end of lecture on last day of classes be like,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",0,1338.0,75,0.98
Post 19,Any other engineers feel fomo watching other majors have time for fun?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,1174.0,37,0.97
Post 20,willing to whore myself out for a spot in cs 2800.,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",5,"[('anyone', 2), ('google', 1), ('sheets', 1), ('memes', 1), ('guess', 1), ('did', 1), ('good', 1), ('semester?', 1), ('mr.', 1), ('squiggles', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",3,1029.0,35,1.0
